Date;PO;TPS;TVQ;Total_Des_Departements;Rabais
2022-09-18;0.00;34.71;49.28;694.05;0.00
2022-09-19;;;;;
2022-09-20;0.00;58.68;108.80;1171.55;0.00
2022-09-21;0.00;26.76;29.34;555.14;20.00
2022-09-22;0.00;19.31;38.52;386.05;0.00
2022-09-23;0.00;25.91;51.03;518.05;0.00
2022-09-24;0.00;57.16;107.83;1142.99;0.00
2022-09-25;0.00;41.73;76.39;905.10;3.60
2022-09-26;;;;;
2022-09-27;0.00;1.00;1.99;20.40;0.50
2022-09-28;0.00;11.65;21.25;232.98;0.00
2022-09-29;20.00;45.64;48.35;1135.55;24.00
2022-09-30;0.00;22.19;39.71;525.80;7.00
2022-10-01;0.00;33.67;57.83;801.15;0.00
2022-10-02;0.00;14.28;28.47;285.45;0.00
2022-10-03;;;;;
2022-10-04;0.00;35.69;60.05;1037.08;0.00
2022-10-05;0.00;22.11;38.32;442.00;0.00
2022-10-06;0.00;35.27;70.36;841.96;0.00
2022-10-07;0.00;37.12;62.44;745.80;3.75
2022-10-08;0.00;33.06;60.31;585.71;0.00
2022-10-09;0.00;21.62;42.77;1166.30;0.00
2022-10-10;;;;;
2022-10-11;0.00;52.72;72.99;1144.70;30.70
2022-10-12;0.00;21.41;42.68;427.84;0.00
2022-10-13;0.00;18.71;30.70;497.10;0.00
2022-10-14;;;;0.00;
2022-10-15;0.00;92.18;171.78;1849.75;37.83
2022-10-16;0.00;42.38;75.76;858.13;11.40
2022-10-17;;;;;
2022-10-18;0.00;62.09;96.67;1302.03;0.00
2022-10-19;0.00;26.68;50.74;534.05;0.45
2022-10-20;0.00;13.05;25.79;260.80;0.00
2022-10-21;0.00;31.44;59.80;628.50;0.00
2022-10-22;0.00;48.54;84.49;970.20;0.00
2022-10-23;0.00;41.11;67.61;828.45;6.64
2022-10-24;;;;;
2022-10-25;0.00;47.81;74.84;956.04;0.00
2022-10-26;60.00;63.28;108.26;1415.49;0.00
2022-10-27;0.00;56.08;98.33;1114.30;59.90
2022-10-28;0.00;31.02;26.39;623.34;3.00
2022-10-29;0.00;52.36;69.86;858.40;21.70
2022-10-30;0.00;24.58;44.02;491.30;0.00
2022-10-31;;;;;
2022-11-01;5.00;55.84;111.40;1064.31;3.75
2022-11-02;0.00;24.05;35.76;1293.23;0.00
2022-11-03;0.00;23.16;36.60;462.85;0.00
2022-11-04;0.00;22.49;38.18;444.75;0.00
2022-11-05;0.00;66.74;133.12;1550.35;0.00
2022-11-06;0.00;34.17;57.98;689.94;6.60
2022-11-07;;;;;
2022-11-08;0.00;21.47;40.33;429.30;0.00
2022-11-09;0.00;10.12;20.19;202.40;0.00
2022-11-10;0.00;18.71;32.34;445.88;4.65
2022-11-11;0.00;12.28;21.99;245.52;0.00
2022-11-12;55.00;64.27;112.40;1474.10;0.00
2022-11-13;0.00;16.79;33.49;335.80;0.00
2022-11-14;;;;;
2022-11-15;0.00;25.84;50.12;516.57;0.00
2022-11-16;0.00;33.54;59.31;701.45;30.58
2022-11-17;0.00;44.62;64.04;892.38;0.00
2022-11-18;0.00;39.82;74.11;796.00;0.00
2022-11-19;0.00;56.74;89.71;1141.17;6.60
2022-11-20;20.00;56.46;79.15;1128.85;0.00
2022-11-21;;;;;
2022-11-22;0.00;50.02;97.93;999.91;0.00
2022-11-23;0.00;43.64;84.17;872.40;0.00
2022-11-24;25.00;51.14;93.68;1022.87;0.00
2022-11-25;0.00;65.83;78.76;1316.34;0.00
2022-11-26;0.00;54.59;98.41;1070.65;0.00
2022-11-27;0.00;28.81;56.24;575.88;0.00
2022-11-28;;;;;
2022-11-29;0.00;27.36;48.18;546.98;0.00
2022-11-30;0.00;32.91;60.25;658.04;
2022-12-01;;60.30;112.69;1313.73;108.20
2022-12-02;;60.89;118.91;1343.08;1.30
2022-12-03;;44.42;81.22;892.26;
2022-12-04;;52.64;93.24;902.40;
2022-12-05;;;;;
2022-12-06;;38.90;75.08;777.64;
2022-12-07;;40.16;68.91;794.85;
2022-12-08;;74.13;121.40;1482.45;
2022-12-09;;55.30;108.83;1130.49;
2022-12-10;;72.15;136.82;1603.20;0.96
2022-12-11;;56.96;98.62;1138.60;
2022-12-12;;;;;
2022-12-13;;63.01;118.17;1259.70;
2022-12-14;;63.08;112.86;1260.95;
2022-12-15;;97.35;174.79;1946.10;
2022-12-16;;74.55;1497.73;1490.38;
2022-12-17;;82.36;157.02;1695.75;49.15
2022-12-18;;80.49;148.03;1611.45;
2022-12-19;;;;;
2022-12-20;;75.95;139.05;1518.20;
2022-12-21;20.00;120.60;201.53;2360.80;
2022-12-22;20.00;188.48;348.28;3768.55;
2022-12-23;;54.90;106.53;977.20;
2022-12-24;;76.62;141.77;1569.09;
2022-12-25;;;;0.00;
2022-12-26;;;;;
2022-12-27;;41.17;70.35;823.00;
2022-12-28;;27.23;51.13;544.45;
2022-12-29;;40.45;75.29;808.70;
2022-12-30;;47.23;86.16;795.78;
2022-12-31;;40.16;70.35;789.50;
2023-01-01;;;;0.00;
2023-01-02;;;;;
2023-01-03;;;;;
2023-01-04;;;;;
2023-01-05;;;;;
2023-01-06;;;;;
2023-01-07;;;;;
2023-01-08;;;;;
2023-01-09;;;;;
2023-01-10;;;;;
2023-01-11;;;;;
2023-01-12;;;;;
2023-01-13;;43.24;66.29;985.04;40.80
2023-01-14;;35.32;58.86;705.98;
2023-01-15;;49.57;85.35;1000.70;10.00
2023-01-16;;;;;
2023-01-17;;21.66;33.60;432.99;
2023-01-18;;29.26;45.59;585.05;
2023-01-19;;24.39;48.62;487.48;
2023-01-20;;12.22;14.59;244.20;
2023-01-21;;53.35;93.30;1066.85;
2023-01-22;;11.25;18.46;225.05;
2023-01-23;;;;;
2023-01-24;;11.48;22.89;229.50;
2023-01-25;;27.19;46.35;543.65;
2023-01-26;;5.54;11.05;110.70;
2023-01-27;;30.80;58.93;615.71;
2023-01-28;;23.04;37.51;460.75;
2023-01-29;;19.06;36.38;406.50;
2023-01-30;;;;;
2023-01-31;;21.69;39.76;433.55;
2023-02-01;;28.06;47.15;560.90;
2023-02-02;;16.79;30.80;335.62;
2023-02-03;;2.99;5.32;59.65;
2023-02-04;;16.32;30.04;326.27;
2023-02-05;;8.85;17.60;176.55;
2023-02-06;;;;;
2023-02-07;;18.52;36.91;637.33;
2023-02-08;;15.40;25.52;307.85;
2023-02-09;;36.98;66.37;739.35;
2023-02-10;;22.05;42.60;391.86;11.19
2023-02-11;;8.75;16.09;174.40;
2023-02-12;;20.51;33.58;409.70;
2023-02-13;;;;;
2023-02-14;;25.21;50.27;504.00;
2023-02-15;;11.48;22.89;268.92;39.38
2023-02-16;;29.75;55.33;594.46;
